INFO     | 2026-04-22 15:29:13,579 | progress   |       Finished subset 83/741, 11.20 percent done
INFO     | 2026-04-22 15:29:15,198 | progress   |       Finished subset 84/741, 11.34 percent done
INFO     | 2026-04-22 15:29:16,023 | progress   |       Finished subset 85/741, 11.47 percent done
INFO     | 2026-04-22 15:29:17,565 | progress   |       Finished subset 86/741, 11.61 percent done
INFO     | 2026-04-22 15:29:19,135 | progress   |       Finished subset 87/741, 11.74 percent done
INFO     | 2026-04-22 15:29:19,740 | progress   |       Finished subset 88/741, 11.88 percent done
INFO     | 2026-04-22 15:29:22,526 | progress   |       Finished subset 89/741, 12.01 percent done
INFO     | 2026-04-22 15:29:24,867 | progress   |       Finished subset 90/741, 12.15 percent done
INFO     | 2026-04-22 15:29:25,395 | progress   |       Finished subset 91/741, 12.28 percent done
INFO     | 2026-04-22 15:29:27,990 | progress   |       Finished subset 92/741, 12.42 percent done
INFO     | 2026-04-22 15:29:28,318 | progress   |       Finished subset 93/741, 12.55 percent done
INFO     | 2026-04-22 15:29:34,562 | progress   |       Finished subset 94/741, 12.69 percent done
INFO     | 2026-04-22 15:29:35,701 | progress   |       Finished subset 95/741, 12.82 percent done
INFO     | 2026-04-22 15:29:36,174 | progress   |       Finished subset 96/741, 12.96 percent done
INFO     | 2026-04-22 15:29:38,539 | progress   |       Finished subset 97/741, 13.09 percent done
INFO     | 2026-04-22 15:29:43,299 | progress   |       Finished subset 98/741, 13.23 percent done
INFO     | 2026-04-22 15:29:43,900 | progress   |       Finished subset 99/741, 13.36 percent done
INFO     | 2026-04-22 15:29:44,776 | progress   |       Finished subset 100/741, 13.50 percent done
INFO     | 2026-04-22 15:29:45,857 | progress   |       Finished subset 101/741, 13.63 percent done
INFO     | 2026-04-22 15:29:46,857 | progress   |       Finished subset 102/741, 13.77 percent done
INFO     | 2026-04-22 15:29:49,642 | progress   |       Finished subset 103/741, 13.90 percent done
INFO     | 2026-04-22 15:29:50,875 | progress   |       Finished subset 104/741, 14.04 percent done
INFO     | 2026-04-22 15:29:51,293 | progress   |       Finished subset 105/741, 14.17 percent done
INFO     | 2026-04-22 15:29:54,686 | progress   |       Finished subset 106/741, 14.30 percent done
INFO     | 2026-04-22 15:29:56,464 | progress   |       Finished subset 107/741, 14.44 percent done
INFO     | 2026-04-22 15:29:57,243 | progress   |       Finished subset 108/741, 14.57 percent done
INFO     | 2026-04-22 15:29:58,489 | progress   |       Finished subset 109/741, 14.71 percent done
INFO     | 2026-04-22 15:30:00,142 | progress   |       Finished subset 110/741, 14.84 percent done
INFO     | 2026-04-22 15:30:00,203 | progress   |       Finished subset 111/741, 14.98 percent done
INFO     | 2026-04-22 15:30:00,299 | progress   |       Finished subset 112/741, 15.11 percent done
INFO     | 2026-04-22 15:30:01,516 | progress   |       Finished subset 113/741, 15.25 percent done
INFO     | 2026-04-22 15:30:02,145 | progress   |       Finished subset 114/741, 15.38 percent done
INFO     | 2026-04-22 15:30:08,377 | progress   |       Finished subset 115/741, 15.52 percent done
INFO     | 2026-04-22 15:30:08,417 | progress   |       Finished subset 116/741, 15.65 percent done
INFO     | 2026-04-22 15:30:09,302 | progress   |       Finished subset 117/741, 15.79 percent done
INFO     | 2026-04-22 15:30:09,828 | progress   |       Finished subset 118/741, 15.92 percent done
INFO     | 2026-04-22 15:30:10,855 | progress   |       Finished subset 119/741, 16.06 percent done
INFO     | 2026-04-22 15:30:12,755 | progress   |       Finished subset 120/741, 16.19 percent done
INFO     | 2026-04-22 15:30:14,029 | progress   |       Finished subset 121/741, 16.33 percent done
INFO     | 2026-04-22 15:30:14,180 | progress   |       Finished subset 122/741, 16.46 percent done
INFO     | 2026-04-22 15:30:17,101 | progress   |       Finished subset 123/741, 16.60 percent done
INFO     | 2026-04-22 15:30:21,213 | progress   |       Finished subset 124/741, 16.73 percent done
INFO     | 2026-04-22 15:30:22,243 | progress   |       Finished subset 125/741, 16.87 percent done
INFO     | 2026-04-22 15:30:24,543 | progress   |       Finished subset 126/741, 17.00 percent done
INFO     | 2026-04-22 15:30:25,158 | progress   |       Finished subset 127/741, 17.14 percent done
INFO     | 2026-04-22 15:30:26,273 | progress   |       Finished subset 128/741, 17.27 percent done
INFO     | 2026-04-22 15:30:27,539 | progress   |       Finished subset 129/741, 17.41 percent done
INFO     | 2026-04-22 15:30:27,924 | progress   |       Finished subset 130/741, 17.54 percent done
INFO     | 2026-04-22 15:30:30,546 | progress   |       Finished subset 131/741, 17.68 percent done
INFO     | 2026-04-22 15:30:30,977 | progress   |       Finished subset 132/741, 17.81 percent done
INFO     | 2026-04-22 15:30:34,263 | progress   |       Finished subset 133/741, 17.95 percent done
INFO     | 2026-04-22 15:30:37,257 | progress   |       Finished subset 134/741, 18.08 percent done
INFO     | 2026-04-22 15:30:37,410 | progress   |       Finished subset 135/741, 18.22 percent done
INFO     | 2026-04-22 15:30:40,513 | progress   |       Finished subset 136/741, 18.35 percent done
INFO     | 2026-04-22 15:30:42,789 | progress   |       Finished subset 137/741, 18.49 percent done
INFO     | 2026-04-22 15:30:43,012 | progress   |       Finished subset 138/741, 18.62 percent done
INFO     | 2026-04-22 15:30:43,230 | progress   |       Finished subset 139/741, 18.76 percent done
INFO     | 2026-04-22 15:30:45,338 | progress   |       Finished subset 140/741, 18.89 percent done
INFO     | 2026-04-22 15:30:46,401 | progress   |       Finished subset 141/741, 19.03 percent done
INFO     | 2026-04-22 15:30:54,469 | progress   |       Finished subset 142/741, 19.16 percent done
INFO     | 2026-04-22 15:30:54,789 | progress   |       Finished subset 143/741, 19.30 percent done
INFO     | 2026-04-22 15:30:55,108 | progress   |       Finished subset 144/741, 19.43 percent done
INFO     | 2026-04-22 15:30:55,915 | progress   |       Finished subset 145/741, 19.57 percent done
INFO     | 2026-04-22 15:30:56,522 | progress   |       Finished subset 146/741, 19.70 percent done
INFO     | 2026-04-22 15:30:57,789 | progress   |       Finished subset 147/741, 19.84 percent done
INFO     | 2026-04-22 15:30:59,180 | progress   |       Finished subset 148/741, 19.97 percent done
INFO     | 2026-04-22 15:31:00,167 | progress   |       Finished subset 149/741, 20.11 percent done
INFO     | 2026-04-22 15:31:01,611 | progress   |       Finished subset 150/741, 20.24 percent done
INFO     | 2026-04-22 15:31:04,282 | progress   |       Finished subset 151/741, 20.38 percent done
INFO     | 2026-04-22 15:31:05,220 | progress   |       Finished subset 152/741, 20.51 percent done
INFO     | 2026-04-22 15:31:06,134 | progress   |       Finished subset 153/741, 20.65 percent done
INFO     | 2026-04-22 15:31:06,174 | progress   |       Finished subset 154/741, 20.78 percent done
INFO     | 2026-04-22 15:31:08,701 | progress   |       Finished subset 155/741, 20.92 percent done
INFO     | 2026-04-22 15:31:12,101 | progress   |       Finished subset 156/741, 21.05 percent done
INFO     | 2026-04-22 15:31:15,614 | progress   |       Finished subset 157/741, 21.19 percent done
INFO     | 2026-04-22 15:31:15,635 | progress   |       Finished subset 158/741, 21.32 percent done
INFO     | 2026-04-22 15:31:18,082 | progress   |       Finished subset 159/741, 21.46 percent done
INFO     | 2026-04-22 15:31:18,911 | progress   |       Finished subset 160/741, 21.59 percent done
INFO     | 2026-04-22 15:31:23,601 | progress   |       Finished subset 161/741, 21.73 percent done
INFO     | 2026-04-22 15:31:24,812 | progress   |       Finished subset 162/741, 21.86 percent done
INFO     | 2026-04-22 15:31:25,137 | progress   |       Finished subset 163/741, 22.00 percent done
INFO     | 2026-04-22 15:32:12,336 | progress   |       Finished subset 164/741, 22.13 percent done
INFO     | 2026-04-22 15:32:14,039 | progress   |       Finished subset 165/741, 22.27 percent done
INFO     | 2026-04-22 15:32:14,641 | progress   |       Finished subset 166/741, 22.40 percent done
INFO     | 2026-04-22 15:32:16,046 | progress   |       Finished subset 167/741, 22.54 percent done
INFO     | 2026-04-22 15:32:16,365 | progress   |       Finished subset 168/741, 22.67 percent done
INFO     | 2026-04-22 15:32:18,200 | progress   |       Finished subset 169/741, 22.81 percent done
INFO     | 2026-04-22 15:32:20,265 | progress   |       Finished subset 170/741, 22.94 percent done
INFO     | 2026-04-22 15:32:20,377 | progress   |       Finished subset 171/741, 23.08 percent done
INFO     | 2026-04-22 15:32:21,262 | progress   |       Finished subset 172/741, 23.21 percent done
INFO     | 2026-04-22 15:32:22,174 | progress   |       Finished subset 173/741, 23.35 percent done
INFO     | 2026-04-22 15:32:23,657 | progress   |       Finished subset 174/741, 23.48 percent done
INFO     | 2026-04-22 15:32:24,036 | progress   |       Finished subset 175/741, 23.62 percent done
INFO     | 2026-04-22 15:32:24,936 | progress   |       Finished subset 176/741, 23.75 percent done
INFO     | 2026-04-22 15:32:27,049 | progress   |       Finished subset 177/741, 23.89 percent done
INFO     | 2026-04-22 15:32:27,434 | progress   |       Finished subset 178/741, 24.02 percent done
INFO     | 2026-04-22 15:32:30,812 | progress   |       Finished subset 179/741, 24.16 percent done
INFO     | 2026-04-22 15:32:31,618 | progress   |       Finished subset 180/741, 24.29 percent done
INFO     | 2026-04-22 15:32:32,105 | progress   |       Finished subset 181/741, 24.43 percent done
INFO     | 2026-04-22 15:32:32,910 | progress   |       Finished subset 182/741, 24.56 percent done
INFO     | 2026-04-22 15:32:35,565 | progress   |       Finished subset 183/741, 24.70 percent done
INFO     | 2026-04-22 15:32:37,292 | progress   |       Finished subset 184/741, 24.83 percent done
INFO     | 2026-04-22 15:32:41,648 | progress   |       Finished subset 185/741, 24.97 percent done
INFO     | 2026-04-22 15:32:41,772 | progress   |       Finished subset 186/741, 25.10 percent done
INFO     | 2026-04-22 15:32:43,341 | progress   |       Finished subset 187/741, 25.24 percent done
INFO     | 2026-04-22 15:32:44,714 | progress   |       Finished subset 188/741, 25.37 percent done
INFO     | 2026-04-22 15:32:45,562 | progress   |       Finished subset 189/741, 25.51 percent done
INFO     | 2026-04-22 15:32:48,733 | progress   |       Finished subset 190/741, 25.64 percent done
INFO     | 2026-04-22 15:32:49,927 | progress   |       Finished subset 191/741, 25.78 percent done
INFO     | 2026-04-22 15:32:50,838 | progress   |       Finished subset 192/741, 25.91 percent done
INFO     | 2026-04-22 15:32:51,000 | progress   |       Finished subset 193/741, 26.05 percent done
INFO     | 2026-04-22 15:32:52,049 | progress   |       Finished subset 194/741, 26.18 percent done
